congress,bill_type,bill_number,introduced_date,latest_action_date,latest_action_text,legislation_url,origin_chamber,title,summary
119,hconres,14,2025-02-18,2025-05-20,Star Print ordered on the reported concurrent resolution.,https://www.congress.gov/bill/119th-congress/house-concurrent-resolution/14,House,Establishing the congressional budget for the United States Government for fiscal year 2025 and setting forth the appropriate budgetary levels for fiscal years 2026 through 2034.,"This concurrent resolution establishes the congressional budget for the federal government for FY2025, sets forth budgetary levels for FY2026-FY2034, and provides reconciliation instructions for legislation that increases or decreases the deficit and increases the statutory debt limit by specified amounts. The resolution recommends levels and amounts for FY2025-FY2034 forfederal revenues,new budget authority,budget outlays,deficits,debt subject to limit, debt held by the public, andthe major functional categories of spending.The resolution includes reconciliation instructions that direct 11 House committees to submit legislation that will increase or decrease the deficit over FY2025-FY2034 and increase the statutory debt limit by specified amounts. The committees must submit the legislation to the House Budget Committee by March 27, 2025. (Under current law, reconciliation bills are considered by Congress using expedited legislative procedures that prevent a filibuster and restrict amendments in the Senate.)In addition, the resolution establishes a reserve fund that allows certain adjustments to committee allocations and other budgetary levels to accommodate reconciliation legislation.The resolution also requires the maximum deficit increase permitted by the reconciliation instruction for the House Ways and Means Committee ($4.5 trillion in the resolution) to be reduced if the proposals submitted by certain committees do not achieve a total of at least $2 trillion in net deficit reduction (or increased if more than $2 trillion in deficit reduction is achieved). Finally, the resolution sets forth budget enforcement procedures that address issues such as adjustments to committee allocations and the budgetary treatment of the discretionary administrative expenses for the Social Security Administration and the U.S. Postal Service."
118,hconres,21,2023-03-01,2023-03-08,Motion to reconsider laid on the table Agreed to without objection.,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/21,House,"Directing the President, pursuant to section 5(c) of the War Powers Resolution, to remove the United States Armed Forces from Syria.",This concurrent resolution directs the President to remove the U.S. Armed Forces from Syria within 180 days of the adoption of this concurrent resolution.
118,hconres,25,2023-03-17,2023-03-30,Message on Senate action sent to the House.,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/25,House,Authorizing the use of Emancipation Hall in the Capitol Visitor Center for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust.,"This concurrent resolution authorizes the use of Emancipation Hall in the Capitol Visitor Center on April 20, 2023, for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust."
118,hconres,3,2023-01-09,2023-01-23,Received in the Senate and referred to the Committee on the Judiciary.,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/3,House,"Expressing the sense of Congress condemning the recent attacks on pro-life facilities, groups, and churches.","This concurrent resolution condemns recent attacks on pro-life facilities, groups, and churches and calls on the current presidential administration to use appropriate law enforcement authorities to support their safety."
118,hconres,30,2023-03-28,2023-04-27,Motion to reconsider laid on the table Agreed to without objection.,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/30,House,"Directing the President, pursuant to section 5(c) of the War Powers Resolution, to remove all United States Armed Forces, other than United States Armed Forces assigned to protect the United States Embassy, from Somalia.","This concurrent resolution directs the President to remove all U.S. Armed Forces from Somalia, other than those assigned to protect the U.S. embassy in Somalia, within 365 days of the adoption of this concurrent resolution."
119,hconres,30,2025-05-06,2025-05-20,Star Print ordered on the referred concurrent resolution.,https://www.congress.gov/bill/119th-congress/house-concurrent-resolution/30,House,Expressing support for local law enforcement officers.,Expressing support for local law enforcement officers.
118,hconres,40,2023-05-05,2023-05-30,Received in the Senate and referred to the Committee on the Judiciary.,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/40,House,Expressing support for local law enforcement officers and condemning efforts to defund or dismantle local law enforcement agencies.,This concurrent resolution recognizes local law enforcement officers and condemns calls to defund or abolish the police.
118,hconres,57,2023-07-17,2023-07-27,Message on Senate action sent to the House.,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/57,House,Expressing the sense of Congress supporting the State of Israel.,"This resolution affirms that Israel is not a racist or apartheid state. The resolution also (1) rejects all forms of antisemitism and xenophobia, and (2) affirms that the United States will always be a staunch partner of Israel."
118,hconres,7,2023-01-09,2023-01-26,Received in the Senate and referred to the Committee on Foreign Relations.,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/7,House,Condemning the Iranian regime's human rights abuses  against the brave women and men of Iran peacefully demonstrating in more than 133 cities.,"This concurrent resolution commends the bravery, courage, and resolve of the women and men of Iran who are (1) participating in the current protests to defend their fundamental human rights, and (2) risking their safety to speak out against the human rights abuses committed by the Iranian regime. The resolution condemns (1) the brutal beating and death of Mahsa Amini; and (2) the violent suppression by the Iranian regime of women and men participating in the current demonstrations, including children, and calls for transparent accountability for all killings of protesters by Iranian security forces. Finally, the resolution encourages continued efforts by the Biden Administration to respond to the protests, including the recent sanctioning of the Iranian morality police."
118,hconres,86,2024-01-25,2024-03-22,Received in the Senate and referred to the Committee on Finance.,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/86,House,Expressing the sense of Congress that a carbon tax would be detrimental to the United States economy.,This concurrent resolution expresses the sense of Congress that a carbon tax is not in the best interest of the country and would be detrimental to families and businesses.
